Zeit;Leistung
08.03.2026 11:13:20; 0.0
08.03.2026 11:13:25; 0.0
08.03.2026 11:13:30; 0.0
08.03.2026 11:13:35; 0.0
08.03.2026 11:13:40; 0.0
08.03.2026 11:13:46; 0.0
08.03.2026 11:13:51; 2057.7
08.03.2026 11:13:56; 2174.1
08.03.2026 11:14:01; 2174.1
08.03.2026 11:14:06; 2174.1
08.03.2026 11:14:11; 2174.1
08.03.2026 11:29:16; 2174.1
08.03.2026 11:29:21; 2174.1
08.03.2026 11:29:26; 1932.0
08.03.2026 11:29:31; 1932.0
08.03.2026 11:29:37; 1932.0
08.03.2026 11:29:42; 1932.0
08.03.2026 11:29:47; 1932.0
08.03.2026 11:29:52; 2036.3
08.03.2026 11:29:57; 2036.3
08.03.2026 11:30:02; 2036.3
08.03.2026 11:30:07; 2036.3
08.03.2026 11:30:12; 2036.3
08.03.2026 11:30:17; 2036.3
08.03.2026 11:30:22; 2064.2
08.03.2026 11:30:27; 2064.2
08.03.2026 11:30:32; 2064.2
08.03.2026 11:30:37; 2064.2
08.03.2026 11:30:43; 2064.2
08.03.2026 11:30:48; 2064.2
08.03.2026 11:30:54; 2081.7
08.03.2026 11:30:59; 2081.7
08.03.2026 11:31:04; 2081.7
08.03.2026 11:31:09; 2081.7
08.03.2026 11:31:14; 2081.7
08.03.2026 11:31:19; 2081.7
08.03.2026 11:31:24; 1932.0
08.03.2026 11:31:29; 1932.0
08.03.2026 11:31:34; 1932.0
08.03.2026 11:31:39; 1932.0
08.03.2026 11:31:44; 1932.0
08.03.2026 11:31:49; 1932.0
08.03.2026 11:31:54; 2044.8
08.03.2026 11:31:59; 2044.8
08.03.2026 11:32:04; 2044.8
08.03.2026 11:32:09; 2044.8
08.03.2026 11:32:14; 2044.8
08.03.2026 11:32:19; 2044.8
08.03.2026 11:32:25; 1937.7
08.03.2026 11:32:30; 1937.7
08.03.2026 11:32:35; 1937.7
08.03.2026 11:32:41; 2049.1
08.03.2026 11:38:52; 2072.9
08.03.2026 11:38:58; 2072.9
08.03.2026 11:39:03; 2072.9
08.03.2026 11:39:08; 2072.9
08.03.2026 11:39:13; 2072.9
08.03.2026 11:39:18; 2072.9
08.03.2026 11:39:23; 1924.4
08.03.2026 11:39:28; 1924.4
08.03.2026 11:39:33; 1924.4
08.03.2026 11:39:38; 1924.4
08.03.2026 11:39:43; 1924.4
08.03.2026 11:39:48; 1924.4
08.03.2026 11:39:53; 127.9
08.03.2026 11:39:58; 127.9
08.03.2026 11:40:03; 127.9
08.03.2026 11:40:08; 127.9
08.03.2026 11:40:13; 127.9
08.03.2026 11:40:18; 127.9
08.03.2026 11:40:23; 87.8
08.03.2026 11:40:28; 87.8
08.03.2026 11:40:33; 87.8
08.03.2026 11:40:38; 87.8
08.03.2026 11:40:43; 87.8
08.03.2026 11:40:48; 87.8
08.03.2026 11:40:54; 85.4
08.03.2026 11:40:59; 85.4
08.03.2026 11:41:04; 85.4
08.03.2026 11:41:09; 85.4
08.03.2026 11:41:14; 85.4
08.03.2026 11:41:19; 85.4
08.03.2026 11:41:24; 4.0
08.03.2026 11:41:29; 4.0
08.03.2026 11:41:34; 4.0
08.03.2026 11:41:40; 4.0
08.03.2026 11:41:45; 4.0
08.03.2026 11:41:50; 4.0
08.03.2026 11:41:55; 45.5
08.03.2026 11:42:00; 45.5
08.03.2026 11:42:05; 45.5
08.03.2026 11:42:10; 45.5
08.03.2026 11:42:15; 45.5
08.03.2026 11:42:20; 45.5
08.03.2026 11:42:25; 136.6
08.03.2026 11:42:30; 136.6
08.03.2026 11:42:36; 136.6
08.03.2026 11:42:41; 136.6
08.03.2026 11:42:46; 136.6
08.03.2026 11:42:51; 136.6
08.03.2026 11:42:56; 85.0
08.03.2026 11:43:01; 85.0
08.03.2026 11:43:06; 85.0
08.03.2026 11:43:11; 85.0
08.03.2026 11:43:16; 85.0
08.03.2026 11:43:21; 85.0
08.03.2026 11:43:26; 4.0
08.03.2026 11:43:31; 4.0
08.03.2026 11:43:37; 4.0
08.03.2026 11:43:42; 4.0
08.03.2026 11:43:47; 4.0
08.03.2026 11:43:52; 4.0
08.03.2026 11:43:57; 4.0
08.03.2026 11:44:02; 4.0
08.03.2026 11:44:07; 4.0
